,name,lat,lon,zipcode
80,Access to Money,37.47399660000001,-77.597416,23236
81,"Nationwide Money Services, Inc.",37.4744978,-77.5992399,23236
82,ATM (Minit Mart),37.4740457,-77.5974462,23236
83,ATM,37.4744978,-77.5992399,23236
84,Cardtronics,37.4741575,-77.5995367,23236
85,PNC Bank ATM,37.5245161,-77.32894449999999,23231
86,ATM Henrico Fcu,37.62993710000001,-77.5279515,23294
87,Wells Fargo Bank,37.630185,-77.5361744,23294
88,C&F Bank,37.6246064,-77.5301152,23294
89,Atlantic Union Bank,37.62957100000001,-77.535591,23294
90,Sonabank,37.633921,-77.5445058,23294
91,Wells Fargo ATM,37.63018949999999,-77.53617299999999,23294
92,"ATM USA, LLC",37.6318046,-77.53853149999999,23294
93,Citifinancial,37.62429910000001,-77.5310727,23294
94,ATM Pnc Bank Na,37.625313,-77.5316131,23294
95,Millennium Bank,37.6339445,-77.5445215,23294
96,Cardtronics ATM,37.6366159,-77.5297501,23228
97,Infinity Financial Partners,37.6275149,-77.54689119999999,23294
98,Bank of America ATM,37.6304172,-77.5354081,23294
99,ATM,37.627736,-77.52954,23294
100,ATM (Uppy's),37.6299198,-77.5346478,23294
101,BB&T ATM,37.6316518,-77.5406282,23294
102,ATM,37.6316518,-77.5406282,23294
103,Access to Money/ABS (Cash-Management),37.6328354,-77.5394963,23294
104,Cardtronics ATM,37.6277193,-77.5296268,23294
105,PNC Bank ATM,37.6252775,-77.5316224,23294
106,Call Federal Credit Union,37.4631046,-77.4282684,23234
107,Shell,37.4645625,-77.4274366,23234
108,ATM (Fast Break Shell),37.4645843,-77.42732350000001,23234
109,SunTrust,37.5203776,-77.4870948,23225
110,Access to Money,37.5229168,-77.49103439999999,23225
111,Cardtronics ATM,37.5205496,-77.4880771,23225
112,ATM (Bank of America),37.5210054,-77.48664819999999,23225
113,SunTrust ATM,37.5203619,-77.4870913,United States
114,Cardtronics ATM,37.5207178,-77.4893652,23225
115,Cardtronics,37.5218126,-77.48901710000001,23225
116,Wells Fargo Bank,37.6484351,-77.5987449,23060
117,Cardtronics ATM,37.6520519,-77.60530270000001,23060
118,ATM (Wells Fargo Bank),37.6484833,-77.5988146,23060
119,Fulton Bank,37.648754,-77.58647100000002,23060
120,Atlantic Union Bank,37.64916399999999,-77.60312499999999,23060
121,ATM PNC Bank at Wawa,37.6485691,-77.5899663,23060
122,Community Bankers Trust Corporation,37.650641,-77.5843557,23060
123,Nationwide Money Services,37.48862580000001,-77.4970719,23224
124,BP,37.485755,-77.4977969,23224
125,Cardtronics ATM,37.493494,-77.48792069999999,23224
126,Rifat LLC,37.4855183,-77.4976307,23224
127,ATM (Rifat LLC),37.485515,-77.49759499999999,23224
128,Cardtronics ATM,37.6520519,-77.60530270000001,23060
129,Wells Fargo Bank,37.6484351,-77.5987449,23060
130,ATM (Wells Fargo Bank),37.6484833,-77.5988146,23060
131,Atlantic Union Bank,37.64916399999999,-77.60312499999999,23060
132,Capital One ATM,37.6525128,-77.6057455,23060
133,Fulton Bank,37.648754,-77.58647100000002,23060
134,ATM PNC Bank at Wawa,37.6485691,-77.5899663,23060
135,ATM (Citgo),37.5061638,-77.4829912,23224
136,BP,37.5096071,-77.4866638,23225
137,"Payment Alliance International, Inc.",37.50956970000001,-77.4866432,23225
138,BB&T ATM,37.5056511,-77.4809677,23224
139,Access to Money,37.50566099999999,-77.47925599999999,23224
140,Community Merchant Services,37.5073879,-77.48494869999999,23224
141,Access to Money/ABS (Non-Cash Management,37.507471,-77.49244,23225
142,Kahuna Business Group,37.5073879,-77.48494869999999,23224
143,ATM,37.5097208,-77.4867608,23225
144,ATM Express,37.506848,-77.49916999999999,23225
145,BP,37.5153047,-77.79393999999999,23139
146,Village Bank (Powhatan),37.5151815,-77.7923629,23139
147,ATM,37.5156183,-77.7942302,23139
148,Atlantic Union Bank,37.516113,-77.790677,23139
149,Henrico Federal Credit Union,37.629075,-77.50943199999999,23228
150,Partners Financial Federal Credit Union,37.6317598,-77.50738249999999,23228
151,PNC Bank ATM,37.6352798,-77.50877659999999,23228
152,Cardtronics ATM,37.62699519999999,-77.5046325,23228
153,ATM Henrico Fcu,37.6290949,-77.509486,23228
154,PNC Bank ATM,37.6347353,-77.50786839999999,23228
155,Cardtronics ATM,37.49808249999999,-77.5459034,23235
156,Citibank ATM,37.4981994,-77.5398171,23235
157,Shell,37.4973257,-77.54406829999999,23235
158,Citibank ATM,37.4977926,-77.5468279,23235
159,Cardtronics ATM,37.49764329999999,-77.5468341,23235
160,BP,37.497323,-77.546463,23235
161,PNC Bank ATM,37.5003653,-77.5350558,23225
162,ATM (7-Eleven),37.4972578,-77.536023,23225
163,BB&T ATM,37.4981994,-77.5398171,23235
164,ATM (Sheetz),37.4964204,-77.5473313,23236
165,PNC Bank ATM,37.4963629,-77.5474546,23236
166,Wells Fargo Bank,37.4189174,-77.6398122,23112
167,Chesterfield Federal Credit Union,37.42196190000001,-77.6380835,23112
168,SunTrust,37.4217232,-77.6350063,23112
169,ATM (Suntrust Bank),37.42297309999999,-77.6346683,23112
170,Suntrust Mortgage,37.4213462,-77.6349824,23112
171,C&F Bank,37.422507,-77.6378051,23112
172,ATM (Wells Fargo Bank),37.41894360000001,-77.63983139999999,23112
173,Cardtronics ATM,37.4212874,-77.6334696,23112
174,Chesterfield Federal Credit Union ATM,37.4219622,-77.6380082,23112
175,Shell,37.4205165,-77.6362666,23112
176,Access to Money,37.5961671,-77.79333749999999,23139
177,ATM,37.5962286,-77.79316829999999,23139
178,"Payment Alliance International, Inc.",37.4807705,-77.5138408,23224
179,ATM Express,37.4804249,-77.5111469,23224
180,Access to Money/ABS (Non-Cash Management,37.64659749999999,-77.24523010000001,23111
181,ATM (West Store),37.64659749999999,-77.24523010000001,23111
